image,Fix1_UL,Fix1_UC,Fix1_UR,Fix1_ML,Fix1_MC,Fix1_MR,Fix1_BL,Fix1_BC,Fix1_BR,Fix2_UL,Fix2_UC,Fix2_UR,Fix2_ML,Fix2_MC,Fix2_MR,Fix2_BL,Fix2_BC,Fix2_BR,Fix3_UL,Fix3_UC,Fix3_UR,Fix3_ML,Fix3_MC,Fix3_MR,Fix3_BL,Fix3_BC,Fix3_BR
1001.jpg,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.8,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.6,0.0,0.0,0.2,0.0,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.4666666666666667,0.0,0.06666666666666667,0.13333333333333333,0.0
1002.jpg,0.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.6,0.0,0.26666666666666666,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.0,0.06666666666666667
1003.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.8,0.0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.6,0.0,0.0,0.26666666666666666,0.0
1004.jpg,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.06666666666666667,0.8666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0
1005.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.2,0.6666666666666666,0.06666666666666667,0.0,0.0,0.0
1006.jpg,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5333333333333333,0.0,0.06666666666666667,0.0,0.0
1007.jpg,0.4,0.2,0.0,0.0,0.13333333333333333,0.26666666666666666,0.0,0.0,0.0,0.7333333333333333,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.26666666666666666,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
1008.jpg,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.6,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.0
1009.jpg,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6666666666666666,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.26666666666666666,0.5333333333333333,0.0,0.0,0.13333333333333333
1010.jpg,0.06666666666666667,0.0,0.0,0.2,0.7333333333333333,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.4,0.13333333333333333,0.2,0.2,0.06666666666666667,0.0,0.0,0.0,0.0
1011.jpg,0.0,0.06666666666666667,0.0,0.13333333333333333,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.2,0.4,0.0,0.0,0.0
1012.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.4666666666666667,0.0,0.0,0.0,0.0,0.5333333333333333,0.06666666666666667,0.0,0.0,0.4
