image,UL,UC,UR,ML,MC,MR,BL,BC,BR
1001.jpg,0.04300751879699248,0.2623558897243108,0.08571428571428572,0.06121971595655806,0.3640100250626566,0.0028738512949039265,0.02175438596491228,0.10238930659983292,0.056675020885547205
1002.jpg,0.17874791373498708,0.003272572569296724,0.0,0.2726380207481101,0.07389468861472002,0.2474392119645253,0.0,0.07913080472559479,0.144876787642766
1003.jpg,0.0,0.062322102336665124,0.007513073409677633,0.029754418481498644,0.6939829218243199,0.017640828754881842,0.0,0.1840537499172569,0.004732905275700007
1004.jpg,0.034663656285277906,0.48363105119861877,0.0,0.0,0.39155986453283753,0.06275317086127898,0.0022245833056643866,0.025167673816322466,0.0
1005.jpg,0.0231575793888556,0.0,0.0,0.15988615937687237,0.6201917315757939,0.16195326542840024,0.015518274415817854,0.019292989814260034,0.0
1006.jpg,0.03640555988568459,0.05053260587165498,0.017731878409976618,0.21771888802286307,0.45768381397765656,0.12802026500389713,0.028189140036373083,0.002598077422707197,0.0611197713691868
1007.jpg,0.3417683436403142,0.16780879157613238,0.07531338793247534,0.0,0.13006852749456793,0.2850409493565101,0.0,0.0,0.0
1008.jpg,0.0,0.1796716019928426,0.012385095782752088,0.11729001473580801,0.30159287067574203,0.09620377517367203,0.16300610483474845,0.12985053680443479,0.0
1009.jpg,0.009501925226679916,0.028195255247795304,0.025648987703390882,0.0,0.2460563905104956,0.5043162340081977,0.0,0.08750465780648367,0.0987765494969569
1010.jpg,0.2633222591362126,0.1672093023255814,0.21069767441860465,0.18943521594684384,0.12561461794019935,0.03983388704318937,0.003887043189368771,0.0,0.0
1011.jpg,0.026871591472483886,0.08672946620393324,0.1036192364898364,0.2859692612791274,0.22098826640224756,0.2270699058006941,0.0031399768633283754,0.03830771773260618,0.0073045777557428524
1012.jpg,0.010839837235674738,0.017443799613101194,0.018677873390701087,0.006470548996064305,0.5133079847908745,0.04252551530918551,0.0,0.009438996731372157,0.3812954439330265
1013.jpg,0.023318444561219127,0.014286652653704678,0.0,0.36028638991066736,0.34327377824487654,0.2588347346295323,0.0,0.0,0.0
1014.jpg,0.1477384810483303,0.2511976891644357,0.026560518528955898,0.1258630407214316,0.21924756939551923,0.059743553614203186,0.11698605044384952,0.05266309708327462,0.0
1015.jpg,0.032640755063249656,0.13492167529658516,0.07861964999672282,0.01900766861112932,0.4101396080487645,0.0820279216097529,0.0,0.18440715737038738,0.05823556400340827
1016.jpg,0.006223123448589309,0.025346991574310387,0.08558542810194734,0.05646260881725693,0.39730098241443207,0.12806348984372268,0.17714925007866308,0.025941334825018356,0.09792679089605985
1017.jpg,0.0,0.0,0.19032448765107723,0.0,0.15094587493431424,0.09255123489227536,0.11117314766158697,0.30839464004203887,0.1466106148187073
1018.jpg,0.12770541248218487,0.06254350203838123,0.0,0.14361472937589076,0.34622650889927414,0.14676344834443672,0.0,0.14139405389281098,0.03175234496702131
1019.jpg,0.10397881540575872,0.26430462910200114,0.0,0.03268192940703248,0.44524519827037173,0.011899574296919518,0.0,0.12083933898702778,0.021050514530888614
1020.jpg,0.021414563168216612,0.16056177642816474,0.0,0.038780287214525214,0.5171126716011893,0.2065856898842285,0.0,0.03438350098057823,0.02116151072309736
1021.jpg,0.006572738303896454,0.005393016044222732,0.09120938384791695,0.14571255224484292,0.21319266549817986,0.1925643791290279,0.06383982742348658,0.1483416475664015,0.13317378994202508
1022.jpg,0.12867696895757083,0.1415548325877728,0.0068456011928968415,0.41327775518503457,0.11481632099769554,0.14270706249152773,0.052121458587501696,0.0,0.0
1023.jpg,0.003754778809393774,0.3178249590387766,0.10653331512834517,0.2032359366466412,0.2576119606772256,0.05703850354997269,0.0,0.054000546149645,0.0
1024.jpg,0.020757020757020756,0.016029554491092952,0.08731724116339501,0.0,0.4866785636016405,0.08046084969161892,0.0,0.30875677029523185,0.0
